"","id","season","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","giveaways","takeaways","goals_away","goals_home","shortHandedGoals","faceOffWins","faceOffTaken","PPpercentage","faceOffPercentage"
"161",6,"s20152016",236,2620,2164,933,234,48,705,501,127,109,9,2592,5140,0.205128205128205,0.504280155642023
"162",6,"s20162017",245,2886,2035,887,260,56,771,669,123,122,11,2877,5426,0.215384615384615,0.530224843346848
"163",6,"s20172018",308,3081,2281,885,292,73,885,756,135,173,10,2950,5833,0.25,0.505743185324876
"164",19,"s20122013",118,1339,1079,630,163,23,385,300,60,58,7,1340,2898,0.141104294478528,0.462387853692202
"165",19,"s20132014",150,2157,1992,903,256,36,542,455,65,85,5,2305,4926,0.140625,0.467925294356476
"166",19,"s20142015",153,1984,2204,853,224,30,514,379,74,79,7,2195,4884,0.133928571428571,0.449426699426699
"167",19,"s20152016",199,2418,1916,749,254,48,520,431,103,96,6,2427,4915,0.188976377952756,0.493794506612411
"168",19,"s20162017",199,2492,1872,741,233,57,626,475,93,106,3,2445,4929,0.244635193133047,0.496043822276324
"169",19,"s20172018",198,2558,1767,673,257,49,621,445,107,91,9,2539,4927,0.190661478599222,0.515323726405521
"170",1,"s20122013",155,1648,1240,821,222,45,441,291,80,75,0,1667,3338,0.202702702702703,0.499400838825644
"171",1,"s20132014",260,2829,2211,1250,340,60,833,554,134,126,8,3100,6283,0.176470588235294,0.493394875059685
"172",1,"s20142015",239,2750,2082,1007,279,42,973,542,105,134,9,3105,5960,0.150537634408602,0.520973154362416
"173",1,"s20152016",216,2505,1933,774,259,42,885,496,113,103,8,2621,5207,0.162162162162162,0.503360860380257
"174",1,"s20162017",234,2666,2112,820,249,48,1018,583,106,128,5,2710,5380,0.192771084337349,0.503717472118959
"175",1,"s20172018",207,2687,2169,708,245,52,989,579,92,115,7,2395,5038,0.212244897959184,0.475387058356491
"176",30,"s20122013",143,1915,1659,903,201,33,487,347,73,70,5,1756,3568,0.164179104477612,0.492152466367713
"177",30,"s20132014",229,2692,2351,1094,271,50,757,595,114,115,5,2659,5189,0.18450184501845,0.512430140682212
"178",30,"s20142015",244,2738,2566,921,300,52,782,683,108,136,6,2613,5414,0.173333333333333,0.482637606206132
"179",30,"s20152016",230,2325,2262,894,240,38,755,585,115,115,17,2519,4983,0.158333333333333,0.50551876379691
"180",30,"s20162017",253,3037,2799,1066,314,50,1016,689,124,129,7,3188,6242,0.159235668789809,0.510733739186158
"181",30,"s20172018",219,2515,1966,667,247,41,809,559,94,125,4,2499,4969,0.165991902834008,0.502918092171463
"182",1,"All",1311,15085,11747,5380,1594,289,5139,3045,630,681,37,15598,31206,0.181304893350063,0.499839774402358
"183",5,"All",1339,14371,13273,4963,1482,292,4898,3952,619,720,30,15070,30243,0.197031039136302,0.49829712660781
"184",6,"All",1478,16481,13078,5295,1448,303,4296,3451,712,766,53,16507,31484,0.209254143646409,0.524298056155508
"185",10,"All",1481,16329,13381,4596,1616,286,5384,3981,724,757,48,15356,31675,0.176980198019802,0.484798737174428
"186",11,"All",1546,17213,9609,4225,1644,303,4467,3883,732,814,40,16156,32288,0.184306569343066,0.500371655104063
"187",12,"All",1251,14489,9858,4471,1636,298,3922,2708,620,631,25,14789,29196,0.182151589242054,0.506541992053706
"188",14,"All",1345,15840,15918,4988,1577,298,4973,2259,647,698,31,15833,30948,0.188966391883323,0.51160010339925
"189",15,"All",1387,14658,9962,4921,1582,290,4592,3242,651,736,42,15232,30142,0.183312262958281,0.505341384115188
"190",16,"All",1286,14539,12595,5546,1605,325,3914,2568,612,674,24,14687,28695,0.202492211838006,0.511831329499913
"191",17,"All",1694,17756,14657,5676,1805,398,4327,3264,784,910,42,17030,34054,0.220498614958449,0.500088095377929
"192",18,"All",1394,15154,11921,5291,1545,303,2650,3349,681,713,26,15802,30846,0.196116504854369,0.512286844323413
"193",19,"All",1017,12948,10830,4549,1387,243,3208,2485,502,515,37,13251,27479,0.17519826964672,0.482222788311074
"194",20,"All",1153,13689,9325,4995,1407,240,3584,2881,559,594,27,13719,28188,0.170575692963753,0.486696466581524
"195",21,"All",1270,13706,9741,4872,1507,272,4639,3785,572,698,51,13874,28948,0.18049104180491,0.479273179494266
"196",22,"All",1381,15018,13008,4477,1485,276,4962,3782,653,728,38,13819,28354,0.185858585858586,0.487373915496932
"197",23,"All",1100,12626,9575,4348,1407,268,3336,2859,536,564,51,12842,27044,0.19047619047619,0.474855790563526
"198",24,"All",1564,15827,13325,5279,1643,390,4864,3810,766,798,24,15902,31779,0.237370663420572,0.500393341514837
"199",25,"All",1222,13883,11266,4612,1406,260,5419,3466,601,621,34,13525,28162,0.184921763869132,0.480257084013919
"200",26,"All",1148,14355,9618,3287,1394,235,4032,4442,566,582,32,14305,27029,0.16857962697274,0.529246365015354
"201",27,"All",1235,13556,10814,4704,1485,256,3105,3353,558,677,31,13957,28140,0.172390572390572,0.495984363894812
"202",28,"All",1101,13372,11834,4550,1459,259,2923,2639,517,584,23,14314,28085,0.177518848526388,0.509667082072281
"203",29,"All",1448,16376,11149,4581,1722,344,5801,4015,685,763,36,16252,31751,0.199767711962834,0.511857894239552
"204",30,"All",1318,15222,13603,5545,1573,264,4606,3458,628,690,44,15234,30365,0.167832167832168,0.501696031615347
"205",31,"All",1555,15541,11769,5423,1746,350,4331,3300,726,829,41,15356,31291,0.200458190148912,0.490748138442364
"206",32,"All",1476,15816,14053,5899,1563,295,4898,2931,695,781,52,16523,32198,0.188739603326935,0.513168519783837
"207",33,"All",1191,14431,10674,4735,1464,237,3789,3280,557,634,36,14035,28553,0.161885245901639,0.491542044618779
"208",34,"All",1425,15707,11269,5131,1599,299,4438,3497,665,760,37,16101,31575,0.186991869918699,0.509928741092637
"209",35,"All",1361,14550,12625,5207,1530,272,4482,3217,620,741,45,14028,28780,0.177777777777778,0.487421820708826
"210",36,"All",1313,14356,12530,4952,1428,266,2775,2984,629,684,38,14270,28746,0.186274509803922,0.496416892785083
"211",37,"All",1370,14731,8979,4316,1497,277,3163,3214,648,722,30,15383,30105,0.185036740146961,0.510978242816808
"212",38,"All",325,3316,2535,805,313,65,977,1095,143,182,8,3076,6304,0.207667731629393,0.487944162436548
