"","playing_team_1","playing_team_2","won_1","won_2","goals1","shots1","hits1","pim1","powerPlayOpportunities1","powerPlayGoals1","giveaways1","takeaways1","faceOffWinPercentage1","goals2","shots2","hits2","pim2","powerPlayOpportunities2","powerPlayGoals2","giveaways2","takeaways2","faceOffWinPercentage2","count","wins","REG_1_team","REG_2_team","OT_1_team","OT_2_team","SO_1_team","SO_2_team"
"272",24,21,5,5,29,328,197,79,28,7,79,70,51.98,28,294,196,101,26,4,85,86,48.02,10,5,4,3,0,2,1,0
"273",24,25,7,3,31,270,234,86,24,6,101,70,49.78,22,298,226,82,31,4,101,72,50.22,10,7,6,2,0,0,1,1
"274",24,27,7,3,33,347,219,92,31,8,75,98,53.87,28,277,217,108,28,6,88,87,46.13,10,7,7,3,0,0,0,0
"275",24,28,5,5,28,329,233,102,34,9,65,60,49.06,29,283,238,96,37,8,69,64,50.94,10,5,3,3,2,1,0,1
"276",24,29,4,6,23,291,242,78,31,6,108,75,48.79,30,274,223,111,25,6,113,74,51.21,10,4,2,4,1,0,1,2
"277",24,32,6,4,24,296,257,94,32,6,118,64,48.94,28,283,274,84,31,4,96,67,51.06,10,6,3,4,1,0,2,0
"278",24,34,3,7,32,283,230,90,32,9,90,67,50.18,34,279,206,106,29,8,94,78,49.82,10,3,3,5,0,1,0,1
"279",24,35,11,4,52,469,348,160,53,11,162,84,51.6533333333333,34,485,414,172,48,5,154,117,48.3466666666667,15,11,8,2,2,2,1,0
"280",24,36,18,10,94,890,616,303,101,24,232,170,49.3571428571429,77,869,790,338,96,17,178,219,50.6428571428571,28,18,13,5,4,4,1,1
"281",24,37,8,2,33,299,218,115,32,11,82,56,45.13,25,301,148,85,42,10,61,59,54.87,10,8,6,2,1,0,1,0
"282",24,38,4,3,23,185,240,56,22,5,73,71,48.5714285714286,21,215,209,91,17,4,70,111,51.4285714285714,7,4,4,3,0,0,0,0
"283",25,14,8,18,52,717,703,237,74,12,310,167,47.4692307692308,89,886,770,235,74,14,270,125,52.5307692307692,26,8,6,17,1,0,1,1
"284",25,15,7,11,52,565,401,204,59,8,200,136,45.55,55,602,332,201,66,10,184,140,54.45,18,7,5,9,1,1,1,1
"285",25,20,14,15,80,867,645,303,94,17,314,234,47.5655172413793,70,900,602,311,95,12,285,238,52.4344827586207,29,14,11,9,1,3,2,3
"286",25,28,10,17,62,851,683,291,88,14,266,191,46.4555555555556,84,818,689,266,91,22,200,178,53.5444444444444,27,10,4,13,3,3,3,1
"287",25,29,13,19,84,881,812,332,81,12,480,244,46.503125,101,1027,706,258,109,23,437,282,53.496875,32,13,10,13,2,3,1,3
"288",25,32,11,22,80,932,897,364,105,17,420,239,48.4787878787879,97,1106,998,365,104,18,400,237,51.5212121212121,33,11,5,18,4,4,2,0
"289",25,35,6,9,42,439,336,172,50,11,195,94,49.5866666666667,43,508,377,209,54,10,156,127,50.4133333333333,15,6,6,5,0,2,0,2
"290",25,36,5,8,48,399,272,155,51,14,134,74,49.9153846153846,41,387,322,175,46,9,85,84,50.0846153846154,13,5,5,5,0,0,0,3
"291",25,37,6,13,38,472,340,145,46,5,197,104,46.6315789473684,55,610,274,146,49,6,146,136,53.3684210526316,19,6,5,11,0,1,1,1
"292",25,38,3,1,16,124,75,40,10,4,50,42,45.8,11,121,69,32,14,1,45,37,54.2,4,3,2,1,1,0,0,0
"293",26,11,4,6,24,348,225,50,25,2,99,130,56,24,281,182,54,23,1,91,114,44,10,4,4,4,0,1,0,1
"294",26,12,5,10,35,478,302,78,46,8,92,106,54.6933333333333,41,413,319,102,35,6,127,120,45.3066666666667,15,5,5,8,0,2,0,0
"295",26,14,4,6,23,296,237,80,38,9,95,82,48.57,25,298,283,92,27,6,79,63,51.43,10,4,4,4,0,1,0,1
"296",26,15,3,7,30,282,202,85,28,7,105,121,51.99,37,279,212,110,26,4,99,77,48.01,10,3,3,7,0,0,0,0
"297",26,18,3,7,28,290,205,65,30,4,91,104,49.88,28,316,223,67,28,4,58,94,50.12,10,3,3,4,0,0,0,3
"298",26,20,2,8,22,309,190,84,31,4,105,82,54.94,32,250,204,86,25,4,75,96,45.06,10,2,2,6,0,2,0,0
"299",26,21,4,6,19,304,167,73,39,7,106,119,52.77,26,271,194,97,25,5,91,114,47.23,10,4,4,5,0,1,0,0
"300",26,24,9,17,64,856,562,170,83,14,256,275,51.8461538461538,75,727,639,210,63,16,233,274,48.1538461538462,26,9,8,13,1,3,0,1
"301",26,25,4,6,31,290,219,89,22,8,106,118,53.68,33,303,237,52,34,8,102,86,46.32,10,4,4,4,0,2,0,0
"302",26,27,5,5,21,326,152,56,23,1,67,130,51.48,24,310,220,46,28,4,75,94,48.52,10,5,3,4,1,1,1,0
"303",26,28,7,3,31,330,201,72,34,5,62,81,49.07,26,281,273,98,27,5,50,67,50.93,10,7,5,2,1,0,1,1
"304",26,29,5,5,29,337,230,33,21,5,115,95,56.26,30,254,207,53,11,2,118,101,43.74,10,5,4,4,1,1,0,0
"305",26,31,4,16,39,639,393,139,65,8,147,181,50.975,68,606,399,149,60,11,160,159,49.025,20,4,2,13,2,3,0,0
"306",26,32,2,8,28,323,197,66,35,5,97,90,52.82,34,277,266,103,20,2,92,64,47.18,10,2,1,5,0,1,1,2
"307",26,33,9,10,43,605,406,181,53,8,183,174,50.7947368421053,49,596,419,188,50,10,172,170,49.2052631578947,19,9,8,9,1,0,0,1
"308",26,34,7,3,26,282,167,58,34,6,99,116,47.28,19,279,234,82,26,3,84,88,52.72,10,7,5,2,0,1,2,0
"309",26,35,5,9,33,419,291,112,54,11,149,100,54.7928571428571,38,407,413,126,42,5,147,121,45.2071428571429,14,5,5,7,0,2,0,0
"310",26,36,12,9,54,635,401,156,71,11,147,169,52.2952380952381,50,623,590,176,62,9,137,193,47.7047619047619,21,12,9,5,3,2,0,2
"311",26,37,2,8,23,321,177,46,34,6,80,85,50.78,35,278,172,70,22,5,64,91,49.22,10,2,1,5,0,1,1,2
"312",26,38,1,1,3,65,38,16,7,1,17,21,57.65,7,57,32,18,6,2,12,32,42.35,2,1,0,1,0,0,1,0
"313",27,14,5,13,34,488,498,174,65,13,126,91,50.9722222222222,53,561,499,180,56,8,150,80,49.0277777777778,18,5,4,10,1,1,0,2
"314",27,15,16,11,87,764,604,330,85,11,204,206,50.7777777777778,79,891,444,254,109,17,194,227,49.2222222222222,27,16,13,9,1,1,2,1
"315",27,20,8,11,50,591,398,141,68,13,108,135,50.0368421052632,55,560,320,185,51,10,108,145,49.9631578947368,19,8,6,9,2,1,0,1
"316",27,25,8,12,51,629,411,155,56,7,160,166,53.045,71,656,445,154,63,17,178,155,46.955,20,8,6,11,1,1,1,0
